"Kode Asisten","Presensi Awal","Waktu Awal","Presensi Akhir"
AAA,Kosong,Kosong,Ada
ACC,Kosong,Kosong,Kosong
AKA,Kosong,Kosong,Kosong
AKI,Kosong,Kosong,Kosong
AKK,Kosong,Kosong,Kosong
ALD,Kosong,Kosong,Kosong
ALL,Kosong,Kosong,Kosong
ALY,Kosong,Kosong,Kosong
AMG,Kosong,Kosong,Kosong
ARC,Kosong,Kosong,Kosong
ARG,Kosong,Kosong,Kosong
ARZ,Kosong,Kosong,Kosong
AUL,Kosong,Kosong,Kosong
BAY,Kosong,Kosong,Kosong
BIL,Kosong,Kosong,Kosong
BRI,Kosong,Kosong,Kosong
BUS,Kosong,Kosong,Kosong
CHZ,Kosong,Kosong,Kosong
CLA,Kosong,Kosong,Kosong
CYN,Kosong,Kosong,Kosong
DAN,Kosong,Kosong,Kosong
DAR,Kosong,Kosong,Kosong
DAZ,Kosong,Kosong,Kosong
DEY,Kosong,Kosong,Kosong
DHY,Kosong,Kosong,Kosong
DNR,Kosong,Kosong,Kosong
DPR,Kosong,Kosong,Kosong
DUN,Kosong,Kosong,Kosong
DYS,Kosong,Kosong,Kosong
EKA,Kosong,Kosong,Kosong
EZL,Kosong,Kosong,Kosong
FAV,Kosong,Kosong,Kosong
FAZ,Kosong,Kosong,Kosong
FLO,Kosong,Kosong,Kosong
FYN,Kosong,Kosong,Kosong
GAN,Kosong,Kosong,Kosong
GND,Kosong,Kosong,Kosong
GUS,Kosong,Kosong,Kosong
IAN,Kosong,Kosong,Kosong
ION,Kosong,Kosong,Kosong
JFT,Kosong,Kosong,Kosong
JIN,Kosong,Kosong,Kosong
LEX,Kosong,Kosong,Kosong
LLY,Kosong,Kosong,Kosong
MAS,Kosong,Kosong,Kosong
MHZ,Kosong,Kosong,Kosong
MIT,Kosong,Kosong,Kosong
NAI,Kosong,Kosong,Kosong
NFB,Kosong,Kosong,Kosong
NOE,Kosong,Kosong,Kosong
NST,Kosong,Kosong,Kosong
NTR,Kosong,Kosong,Kosong
NUE,Kosong,Kosong,Kosong
OIL,Kosong,Kosong,Kosong
ONE,Kosong,Kosong,Kosong
PER,Kosong,Kosong,Kosong
RAD,Kosong,Kosong,Kosong
RAF,Kosong,Kosong,Kosong
RAP,Kosong,Kosong,Kosong
RAR,Kosong,Kosong,Kosong
RDJ,Kosong,Kosong,Kosong
REL,Kosong,Kosong,Kosong
RIZ,Kosong,Kosong,Kosong
RYN,Kosong,Kosong,Kosong
RYU,Kosong,Kosong,Kosong
RZE,Kosong,Kosong,Kosong
SAM,Kosong,Kosong,Kosong
SHA,Kosong,Kosong,Kosong
SNI,Kosong,Kosong,Kosong
SOH,Kosong,Kosong,Kosong
SSS,Kosong,Kosong,Kosong
SYW,Kosong,Kosong,Kosong
TAN,Kosong,Kosong,Kosong
TGH,Kosong,Kosong,Kosong
THI,Kosong,Kosong,Kosong
TIN,Kosong,Kosong,Kosong
TIP,Kosong,Kosong,Kosong
TNT,Kosong,Kosong,Kosong
TRA,Kosong,Kosong,Kosong
UKI,Kosong,Kosong,Kosong
UZY,Kosong,Kosong,Kosong
VAL,Kosong,Kosong,Kosong
VIS,Kosong,Kosong,Kosong
WGG,Kosong,Kosong,Kosong
WLN,Kosong,Kosong,Kosong
ZAI,Kosong,Kosong,Kosong
ZEN,Kosong,Kosong,Kosong
ZIN,Kosong,Kosong,Kosong
